code,name,college
BAE,Bachelor of Arts in English,CASS
BAH,Bachelor of Arts in History,CASS
BAP,Bachelor of Arts in Psychology,CASS
BAPS,Bachelor of Arts in Political Science,CASS
BAS,Bachelor of Arts in Sociology,CASS
BEED,Bachelor of Elementary Education,CED
BPEd,Bachelor in Physical Education,CED
BSA,Bachelor of Science in Accountancy,CEBA
BSAnBio,Bachelor of Science in Animal Biology,CSM
BSBA-MM,Bachelor of Science in Business Administration - Marketing Management,CEBA
BSCE,Bachelor of Science in Civil Engineering,COE
BSCHE,Bachelor of Science in Chemical Engineering,COE
BSCHEM,Bachelor of Science in Chemistry,CSM
BSCOE,Bachelor of Science in Computer Engineering,COE
BSCS,Bachelor of Science in Computer Science,CCS
BSCerE,Bachelor of Science in Ceramics Engineering,COE
BSECE,Bachelor of Science in Electronics and Communications Engineering,COE
BSECON,Bachelor of Science in Economics,CEBA
BSED-BIO,Bachelor of Secondary Education Major in Biology,CED
BSED-CHEM,Bachelor of Secondary Education Major in Chemistry,CED
BSED-MATH,Bachelor of Secondary Education Major in Mathematics,CED
BSED-PHYS,Bachelor of Secondary Education Major in Physics,CED
BSEE,Bachelor of Science in Electrical Engineering,COE
BSHM,Bachelor of Science in Hospitality Management,CEBA
BSIS,Bachelor of Science in Information Systems,CCS
BSIT,Bachelor of Science in Information Technology,CCS
BSMATH,Bachelor of Science in Mathematics,CSM
BSME,Bachelor of Science in Mechanical Engineering,COE
BSMarBio,Bachelor of Science in Marine Biology,CSM
BSMetE,Bachelor of Science in Metallurgical Engineering,COE
BSMicBio,Bachelor of Science in Microbiology,CSM
BSMining,Bachelor of Science in Mining Engineering,COE
BSN,Bachelor of Science in Nursing,CHS
BSPHYS,Bachelor of Science in Physics,CSM
BSSTAT,Bachelor of Science in Statistics,CSM
